Agent,Participant,Frequency(Base_Rate),Training Phase,Trail number,Email_ID,ground truth,human_truth,choice made/decision,outcome,Hit,Miss,False,Correct Rejection
LoFQA1,A10O5YR01H865K,25,2,24,205,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,2,25,211,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,26,228,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,27,190,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,28,214,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,29,236,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,30,191,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,31,196,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,2,32,238,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,33,219,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,34,192,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,35,218,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,36,197,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,37,139,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,38,74,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,39,194,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,40,206,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,1,199,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,3,2,225,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,3,207,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,3,4,226,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,5,185,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,3,6,221,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,3,7,200,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,8,201,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,9,208,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,3,10,184,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,1,1,229,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,2,185,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,1,3,216,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,4,231,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,5,224,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,6,235,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,7,197,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,8,193,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,1,9,183,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,1,10,206,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,2,1,107,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,2,227,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,3,202,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,4,28,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,5,198,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,2,6,199,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,7,201,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,8,232,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,9,170,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,10,25,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,11,194,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,12,187,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,13,217,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,14,238,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,15,86,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,16,223,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,17,188,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,18,210,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,19,126,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,2,20,215,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,21,200,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,22,195,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,23,46,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,24,176,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,2,25,60,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,2,26,208,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,27,203,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,28,49,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA2,A1160COTUR26JZ,25,2,29,237,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,30,196,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,31,189,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,32,233,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,33,204,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,34,220,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,35,218,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,36,205,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,37,214,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,38,236,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,39,211,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,2,40,207,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,1,190,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,2,213,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,3,178,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,3,4,209,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA2,A1160COTUR26JZ,25,3,5,212,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,6,180,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA2,A1160COTUR26JZ,25,3,7,219,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,8,221,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,9,191,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA2,A1160COTUR26JZ,25,3,10,222,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,1,189,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,2,226,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,3,216,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,4,178,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,1,5,193,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,6,238,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,7,222,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,8,181,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,1,9,212,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,1,10,190,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,1,197,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,2,213,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,3,229,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,4,176,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,5,121,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,6,223,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,7,224,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,8,237,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,9,203,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,10,210,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,11,227,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,12,214,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,13,128,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,14,231,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,15,225,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,16,230,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,17,188,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,18,209,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,19,235,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,20,221,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,21,199,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,22,109,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,23,80,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,24,217,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,25,196,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,26,228,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,27,187,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,28,232,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,2,29,215,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,30,233,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,31,163,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,32,106,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,33,24,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,34,202,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,35,218,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,36,219,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,37,29,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,38,58,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,2,39,220,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,2,40,234,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,1,236,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,2,239,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,3,189,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,4,177,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,3,5,205,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,6,179,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA3,A12HZGOZQD5YK7,25,3,7,204,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,8,191,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA3,A12HZGOZQD5YK7,25,3,9,200,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA3,A12HZGOZQD5YK7,25,3,10,206,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,1,1,201,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,2,180,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,1,3,239,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,4,203,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,5,199,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,6,237,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,7,186,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,1,8,196,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,9,236,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,1,10,188,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,1,82,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,2,234,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,3,38,Phishing,Ham,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,4,155,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,5,197,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,6,189,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,7,55,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,8,212,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,2,9,207,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,10,47,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,11,238,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,12,232,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,13,202,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,14,221,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,15,147,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,16,198,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,17,222,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,2,18,233,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,19,156,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,20,235,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,21,206,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,22,215,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,2,23,204,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,24,205,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,25,213,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,26,228,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,27,208,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,28,209,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,29,200,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,30,162,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,31,116,Phishing,Ham,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,32,201,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,33,230,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,34,29,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA4,A14SEFVPXYZ9TN,25,2,35,231,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,36,210,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,37,223,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,2,38,224,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA4,A14SEFVPXYZ9TN,25,2,39,214,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,2,40,227,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,1,190,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,2,211,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,3,229,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,4,216,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,5,185,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,3,6,217,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,7,183,Phishing,Ham,Phishing,1.0,1,0,0,0
LoFQA4,A14SEFVPXYZ9TN,25,3,8,191,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,9,218,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA4,A14SEFVPXYZ9TN,25,3,10,219,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA5,A17OINLIDZ0C14,25,1,1,187,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,2,239,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,3,189,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,4,221,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,5,184,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA5,A17OINLIDZ0C14,25,1,6,216,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,7,183,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA5,A17OINLIDZ0C14,25,1,8,197,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,9,191,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,1,10,208,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,1,192,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,2,222,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,3,223,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,4,33,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA5,A17OINLIDZ0C14,25,2,5,218,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,6,199,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,7,234,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,8,141,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA5,A17OINLIDZ0C14,25,2,9,195,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,10,194,Ham,Ham,Phishing,0.0,0,0,1,0
LoFQA5,A17OINLIDZ0C14,25,2,11,188,Ham,Ham,Phishing,0.0,0,0,1,0
